"id","name","code"
217,"An Giang","76"
206,"Bà Rịa - Vũng Tàu","64"
205,"Bình Dương","065"
239,"Bình Phước","651"
258,"Bình Thuận","62"
262,"Bình Định","56"
253,"Bạc Liêu","781"
248,"Bắc Giang","240"
245,"Bắc Kạn","281"
249,"Bắc Ninh","241"
213,"Bến Tre","75"
246,"Cao Bằng","26"
252,"Cà Mau","780"
220,"Cần Thơ","710"
207,"Gia Lai","59"
227,"Hà Giang","219"
232,"Hà Nam","351"
201,"Hà Nội","4"
236,"Hà Tĩnh","39"
267,"Hòa Bình","218"
268,"Hưng Yên","321"
225,"Hải Dương","320"
224,"Hải Phòng","31"
250,"Hậu Giang","711"
202,"Hồ Chí Minh","8"
208,"Khánh Hòa","58"
219,"Kiên Giang","77"
259,"Kon Tum","60"
264,"Lai Châu","231"
211,"Long An","72"
269,"Lào Cai","20"
209,"Lâm Đồng","63"
247,"Lạng Sơn","25"
231,"Nam Định","350"
235,"Nghệ An","38"
233,"Ninh Bình","30"
261,"Ninh Thuận","68"
229,"Phú Thọ","210"
260,"Phú Yên","57"
237,"Quảng Bình","52"
243,"Quảng Nam","510"
242,"Quảng Ngãi","55"
230,"Quảng Ninh","33"
238,"Quảng Trị","53"
218,"Sóc Trăng","79"
266,"Sơn La","22"
234,"Thanh Hóa","37"
226,"Thái Bình","36"
244,"Thái Nguyên","280"
223,"Thừa Thiên - Huế","54"
212,"Tiền Giang","73"
214,"Trà Vinh","74"
228,"Tuyên Quang","27"
240,"Tây Ninh","66"
215,"Vĩnh Long","70"
221,"Vĩnh Phúc","211"
263,"Yên Bái","29"
265,"Điện Biên","230"
203,"Đà Nẵng","511"
210,"Đắk Lắk","500"
241,"Đắk Nông","501"
204,"Đồng Nai","61"
216,"Đồng Tháp","67"